Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Bean Creek",64,0,0,0,0,0,0,0,0,0,12,79,
"Bearbong",56,0,0,0,0,0,0,0,0,0,7,59,
"Beaumont (NSW)",100,3,0,0,0,0,0,0,0,0,26,127,
"Beaumont Hills",5962,266,131,462,826,444,624,0,42,23,265,9038,
"Beckom",116,0,0,0,0,0,0,0,0,0,12,129,
"Bective",178,0,0,0,0,0,0,0,0,0,25,210,
"Bectric",48,0,0,0,0,0,0,0,0,0,8,57,
"Bedgerabong",131,0,0,0,0,4,0,0,0,0,18,149,
"Beechwood",577,8,0,0,0,0,0,0,0,0,32,611,
"Beecroft",6357,163,87,109,473,104,1700,0,18,9,379,9395,
"Beecroft Peninsula",0,0,0,0,0,0,0,0,0,0,0,0,
"Beelbangera",350,15,0,0,3,0,0,0,4,0,29,406,
"Beemunnel",10,0,0,0,0,0,0,0,0,0,0,10,
"Bega",4211,13,0,8,16,43,12,9,6,3,333,4666,
"Beggan Beggan",92,0,0,0,0,0,0,0,0,0,10,99,
"Belanglo",17,0,0,0,0,0,0,0,0,0,3,21,
"Belbora",99,0,0,0,0,0,0,0,0,0,18,121,
"Belfield",2692,901,78,916,181,202,986,3,85,20,255,6317,
"Belford",153,0,0,0,0,0,0,0,0,0,19,171,
"Belfrayden",24,0,0,0,0,0,0,0,0,0,6,30,
"Belgravia",112,0,0,0,0,0,0,0,0,0,0,118,
"Belimbla Park",524,29,0,0,0,0,0,0,0,0,23,583,
"Bell (NSW)",44,0,0,0,0,0,0,0,0,0,0,47,
"Bella Vista",3929,282,158,336,1429,264,1177,0,30,19,233,7834,
"Bellambi",3341,104,56,57,18,66,29,3,41,7,230,3948,
"Bellangry",89,0,0,0,0,0,0,0,0,0,10,94,
"Bellata",322,0,0,0,0,0,0,0,0,0,30,348,
"Bellawongarah",107,0,0,0,0,0,0,0,0,0,16,124,
"Bellbird",1860,0,0,3,3,11,5,0,4,4,137,2031,
"Bellbird Heights",734,3,0,0,0,0,12,0,0,0,34,788,
"Bellbrook",260,6,0,0,0,0,0,0,4,0,9,280,
"Bellevue Hill",8185,599,335,233,26,113,379,3,3,13,822,10719,
"Bellimbopinni",99,0,0,0,0,0,0,0,0,0,23,118,
"Bellingen",3435,44,8,4,14,19,12,0,7,9,229,3776,
"Bellmount Forest",117,0,0,0,0,0,0,0,0,0,0,117,
"Belltrees",25,0,0,0,0,0,0,0,0,0,4,29,
"Belmont (NSW)",6474,50,28,11,44,32,55,6,8,5,400,7114,
"Belmont North",5870,36,15,25,9,36,52,4,19,8,266,6336,
"Belmont South",984,3,3,0,0,3,0,0,11,0,46,1052,
"Belmore",3541,2480,154,1739,1044,1030,1578,8,368,44,748,12713,
"Belmore River",256,0,0,0,0,0,0,0,0,0,10,269,
"Beloka",18,0,0,0,0,0,0,0,0,0,0,18,
"Belowra",8,0,0,0,0,0,0,0,0,0,0,8,
